game_id,tool,repairs,mission_failures_damaged
914f75905ed1d9c2,VESSEL,0,0
488ed92b225f7661,KNIFE,0,0
488ed92b225f7661,VESSEL,0,0
a539d8a0b5f4cbff,KNIFE,0,0
a539d8a0b5f4cbff,VESSEL,1,0
e763f2a84f40760f,KNIFE,0,0
e763f2a84f40760f,VESSEL,0,0
2426ffbe7a766efb,KNIFE,0,0
2426ffbe7a766efb,VESSEL,0,0
c6c909ff581fc72a,KNIFE,0,0
c6c909ff581fc72a,VESSEL,0,0
fb1a0d207b424037,KNIFE,0,0
fb1a0d207b424037,VESSEL,1,0
3d1abcff60334c34,KNIFE,0,0
3d1abcff60334c34,VESSEL,0,0
c63b10c131319c07,KNIFE,1,1
c63b10c131319c07,VESSEL,1,0
b447600b2d029e14,KNIFE,1,0
b447600b2d029e14,VESSEL,0,0
83a35a833f5614ed,KNIFE,0,0
83a35a833f5614ed,VESSEL,2,0
7af4db39afac422c,KNIFE,1,0
7af4db39afac422c,VESSEL,0,0
bb3da894ed0af21c,KNIFE,0,0
bb3da894ed0af21c,VESSEL,1,0
b3d9a805b9eaf287,KNIFE,0,0
b3d9a805b9eaf287,VESSEL,2,0
eaa841d42437328a,KNIFE,0,0
eaa841d42437328a,VESSEL,0,0
984d20954a5ab3e5,KNIFE,3,2
984d20954a5ab3e5,VESSEL,0,0
9c4980e474e9279d,KNIFE,0,0
9c4980e474e9279d,VESSEL,0,0
1786fb158ec91033,KNIFE,0,0
1786fb158ec91033,VESSEL,1,0
58c0992af5899baf,KNIFE,0,0
58c0992af5899baf,VESSEL,1,0
cc6dd49ca6fd33c6,KNIFE,0,0
cc6dd49ca6fd33c6,VESSEL,0,0
48facd47f77fe0d6,KNIFE,0,0
48facd47f77fe0d6,VESSEL,1,1
5ac4edc8c6cc4709,KNIFE,0,0
5ac4edc8c6cc4709,VESSEL,1,0
938e20d45a43b958,KNIFE,0,0
938e20d45a43b958,VESSEL,1,0
ba998863201dacc7,KNIFE,1,1
ba998863201dacc7,VESSEL,0,0
ba465dbe95aa2466,KNIFE,0,0
ba465dbe95aa2466,VESSEL,0,0
50003d8f65327866,KNIFE,0,0
50003d8f65327866,VESSEL,0,0
391dde1711cf6280,KNIFE,0,0
391dde1711cf6280,VESSEL,0,0
44e04710180835a8,KNIFE,0,0
44e04710180835a8,VESSEL,0,1
0ee0ecf82131ac11,KNIFE,1,0
0ee0ecf82131ac11,VESSEL,0,0
51945a7044df17c5,KNIFE,0,0
51945a7044df17c5,VESSEL,1,0
0c565026856b45c3,KNIFE,1,0
0c565026856b45c3,VESSEL,0,0
524dfbfd1aecda31,KNIFE,0,0
524dfbfd1aecda31,VESSEL,1,0
424716f942270ad7,KNIFE,1,0
424716f942270ad7,VESSEL,0,0
9e802908afbecde8,KNIFE,1,0
9e802908afbecde8,VESSEL,2,0
f4971cee3e58e3ef,KNIFE,0,0
f4971cee3e58e3ef,VESSEL,0,0
d8e187855617043c,KNIFE,1,0
d8e187855617043c,VESSEL,1,0
ddd6acfbf6bdf0fc,KNIFE,1,0
ddd6acfbf6bdf0fc,VESSEL,0,0
b0155a0939260e74,KNIFE,1,0
b0155a0939260e74,VESSEL,1,0
5e6ba06aadf437b2,KNIFE,0,0
5e6ba06aadf437b2,VESSEL,0,0
2720195b84f0252f,KNIFE,0,0
2720195b84f0252f,VESSEL,1,1
0195bfe54e7b8ad5,KNIFE,1,0
0195bfe54e7b8ad5,VESSEL,0,0
8d9052366e51d481,KNIFE,0,0
8d9052366e51d481,VESSEL,0,0
fbf7c73b4d01c0f0,KNIFE,0,0
fbf7c73b4d01c0f0,VESSEL,1,1
89fbe22bedefccf9,KNIFE,0,0
89fbe22bedefccf9,VESSEL,0,0
f2ae05a67f4bcb56,KNIFE,1,1
f2ae05a67f4bcb56,VESSEL,0,0
d193045a9b198480,KNIFE,2,0
d193045a9b198480,VESSEL,0,0
8f10cdef9408155a,KNIFE,0,0
8f10cdef9408155a,VESSEL,0,0
0864d7d7aed2f56a,KNIFE,0,0
0864d7d7aed2f56a,VESSEL,0,0
e4af0dcf2c8edcfa,KNIFE,0,0
e4af0dcf2c8edcfa,VESSEL,0,0
ac70ef89405f81d4,KNIFE,0,0
ac70ef89405f81d4,VESSEL,1,1
ddd27bb8b7fbe8a5,KNIFE,1,0
ddd27bb8b7fbe8a5,VESSEL,0,1
55348598e9221b1b,KNIFE,1,0
55348598e9221b1b,VESSEL,0,0
f9a8a6b3b69a6a54,KNIFE,1,0
f9a8a6b3b69a6a54,VESSEL,0,0
6278ab9071b83ac5,KNIFE,0,4
6278ab9071b83ac5,VESSEL,0,0
ecba17a6fed3df67,KNIFE,1,0
ecba17a6fed3df67,VESSEL,1,0
dda4d6e39e15bf14,KNIFE,0,0
dda4d6e39e15bf14,VESSEL,1,0
59a7115806037c49,KNIFE,0,0
59a7115806037c49,VESSEL,0,0
fda3fdd0c8025903,KNIFE,0,3
fda3fdd0c8025903,VESSEL,0,0
07fda887b4554228,KNIFE,1,0
07fda887b4554228,VESSEL,0,0
93e0191e10c3b9bc,KNIFE,0,0
93e0191e10c3b9bc,VESSEL,0,0
a77636b0df700c09,KNIFE,0,0
a77636b0df700c09,VESSEL,0,0
fa73422a60bc7263,KNIFE,0,3
fa73422a60bc7263,VESSEL,0,0
f64d819d1e55981c,KNIFE,1,0
f64d819d1e55981c,VESSEL,0,0
24d1b3fe2ad7ece0,KNIFE,0,0
24d1b3fe2ad7ece0,VESSEL,2,0
802b583b3c1a71a7,KNIFE,0,0
802b583b3c1a71a7,VESSEL,1,0
46bac59cf897604b,KNIFE,1,0
46bac59cf897604b,VESSEL,0,3
29484f2f03eeaae8,KNIFE,1,0
29484f2f03eeaae8,VESSEL,0,0
ca815f34c298af1a,KNIFE,1,0
ca815f34c298af1a,VESSEL,0,0
9465dd9ac2db0265,KNIFE,0,0
9465dd9ac2db0265,VESSEL,0,0
53f5452c4d99dd38,KNIFE,1,2
53f5452c4d99dd38,VESSEL,0,0
4c39bd52229576b4,KNIFE,1,1
4c39bd52229576b4,VESSEL,0,0
24180b8a31dd1f6b,KNIFE,0,0
24180b8a31dd1f6b,VESSEL,0,0
a9415774b0e931cc,KNIFE,1,0
a9415774b0e931cc,VESSEL,0,0
47afc38528bcde12,KNIFE,0,0
47afc38528bcde12,VESSEL,0,0
f52adcc8f37d30f3,KNIFE,1,0
f52adcc8f37d30f3,VESSEL,0,0
f4e3ccdbee0fda91,KNIFE,0,0
f4e3ccdbee0fda91,VESSEL,0,0
ba4fb450fdb60825,KNIFE,0,0
ba4fb450fdb60825,VESSEL,0,0
5558202a4854e2ef,KNIFE,0,0
5558202a4854e2ef,VESSEL,0,0
e32f562260e38bfd,KNIFE,0,0
e32f562260e38bfd,VESSEL,0,0
b5ac7afa6459b418,KNIFE,1,1
b5ac7afa6459b418,VESSEL,0,0
b7e2d287a98eee45,KNIFE,0,1
b7e2d287a98eee45,VESSEL,0,0
b8a131609661f1f1,KNIFE,0,0
b8a131609661f1f1,VESSEL,0,0
90dfe2ceb0ea5913,KNIFE,0,2
90dfe2ceb0ea5913,VESSEL,0,0
a6fb1ed9a365a342,KNIFE,1,0
a6fb1ed9a365a342,VESSEL,0,0
85f2a313c050abab,KNIFE,1,0
85f2a313c050abab,VESSEL,0,0
a8abbf79c47fa2bf,KNIFE,0,0
a8abbf79c47fa2bf,VESSEL,1,0
1699bbde58fb7742,KNIFE,1,2
1699bbde58fb7742,VESSEL,1,0
ea79c4fdf492ff1d,KNIFE,0,0
ea79c4fdf492ff1d,VESSEL,0,0
396fe161c2056602,KNIFE,0,0
396fe161c2056602,VESSEL,1,1
6bb72ef61b97c99f,KNIFE,1,0
6bb72ef61b97c99f,VESSEL,0,0
dc818990af557794,KNIFE,1,1
dc818990af557794,VESSEL,0,0
456f94173e09babc,KNIFE,0,0
456f94173e09babc,VESSEL,0,0
3cf058be8db937a8,KNIFE,0,0
3cf058be8db937a8,VESSEL,0,0
9fe795d1d792352f,KNIFE,0,0
9fe795d1d792352f,VESSEL,1,0
2ff78e6285036f9b,KNIFE,0,2
2ff78e6285036f9b,VESSEL,0,0
11f6d5f0c4445e40,KNIFE,0,0
11f6d5f0c4445e40,VESSEL,0,0
2a18991fca2df3af,KNIFE,1,1
2a18991fca2df3af,VESSEL,0,0
e247bd8f86071cf1,KNIFE,0,0
e247bd8f86071cf1,VESSEL,1,0
4ec3fdf6bc139aa8,KNIFE,0,0
4ec3fdf6bc139aa8,VESSEL,0,0
226847afa6fe6c9d,KNIFE,0,0
226847afa6fe6c9d,VESSEL,2,0
a6126e75b2e62b26,KNIFE,0,0
a6126e75b2e62b26,VESSEL,0,0
bd341e4d7eccdc77,KNIFE,0,0
bd341e4d7eccdc77,VESSEL,0,0
a37497b2dc7a70bf,KNIFE,1,1
a37497b2dc7a70bf,VESSEL,0,1
874173becc3cd3e2,KNIFE,0,0
874173becc3cd3e2,VESSEL,2,0
829b5285caa3b386,KNIFE,1,0
829b5285caa3b386,VESSEL,0,0
f3b26cb802045fc8,KNIFE,1,0
f3b26cb802045fc8,VESSEL,1,0
b21ec61bb2d00f0c,KNIFE,1,0
b21ec61bb2d00f0c,VESSEL,0,0
36cdb19a39be5fb4,KNIFE,0,0
36cdb19a39be5fb4,VESSEL,0,1
42fe766c5cb0d40c,KNIFE,1,0
42fe766c5cb0d40c,VESSEL,0,0
ec6628f11cf0a0f1,KNIFE,0,0
ec6628f11cf0a0f1,VESSEL,1,1
02b52c8669a87857,KNIFE,0,0
02b52c8669a87857,VESSEL,1,0
684214ccdfcc531a,KNIFE,0,0
684214ccdfcc531a,VESSEL,1,0
fd04c9605640e585,KNIFE,1,0
fd04c9605640e585,VESSEL,1,0
50d9b2419062e656,KNIFE,0,0
50d9b2419062e656,VESSEL,0,0
2b7edd00197e8b4e,KNIFE,0,2
2b7edd00197e8b4e,VESSEL,0,2
5bdac9cc16250448,KNIFE,0,0
5bdac9cc16250448,VESSEL,0,0
cdb254ecd5a48872,KNIFE,0,0
cdb254ecd5a48872,VESSEL,0,0
385ebe8274fa3999,KNIFE,0,0
385ebe8274fa3999,VESSEL,0,0
4fc86415c32a43f6,KNIFE,0,0
4fc86415c32a43f6,VESSEL,0,0
3e050740197a37dc,KNIFE,1,1
3e050740197a37dc,VESSEL,0,0
46fffd45b9f0663f,KNIFE,1,0
46fffd45b9f0663f,VESSEL,1,0
00714895e337391d,KNIFE,0,0
00714895e337391d,VESSEL,0,0
8dbdcf172c0bd9da,KNIFE,0,0
8dbdcf172c0bd9da,VESSEL,1,0
7d64a19ed59df039,KNIFE,0,0
7d64a19ed59df039,VESSEL,1,0
4c075c8e59927f04,KNIFE,0,0
4c075c8e59927f04,VESSEL,0,0
7fbf0a889a825744,KNIFE,1,0
7fbf0a889a825744,VESSEL,0,0
61a4601566933d05,KNIFE,0,0
61a4601566933d05,VESSEL,1,3
a05014d4dbf7a81a,KNIFE,1,0
a05014d4dbf7a81a,VESSEL,0,0
7e1946ab0c9f16b0,KNIFE,1,0
7e1946ab0c9f16b0,VESSEL,0,0
b082218dc91f3b0c,KNIFE,2,2
b082218dc91f3b0c,VESSEL,0,0
90bf322bbbfae5a6,KNIFE,1,0
90bf322bbbfae5a6,VESSEL,0,1
24c1b2b4c0f62e1b,KNIFE,0,0
24c1b2b4c0f62e1b,VESSEL,0,0
ed7756a9f392b72d,KNIFE,1,0
ed7756a9f392b72d,VESSEL,1,0
2d7cd9a71a815a02,KNIFE,0,0
2d7cd9a71a815a02,VESSEL,1,3
ee7219e1942a6f43,KNIFE,0,0
ee7219e1942a6f43,VESSEL,0,0
bc8148b927219ad8,KNIFE,0,0
